Start Date,2015/1/1,
End Date,2017/12/31,
,,
NKY Index,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_VOLUME
2015/01/05,17408.71,1164583424
2015/1/6,16883.19,1660244992
2015/1/7,16885.33,1385738880
2015/1/8,17167.1,1406082816
2015/1/9,17197.73,1552187136
2015/1/13,17087.71,1491808384
2015/1/14,16795.96,1485083648
2015/1/15,17108.7,1477088640
2015/1/16,16864.16,1710988032
2015/1/19,17014.29,1279781760
2015/1/20,17366.3,1330269312
2015/1/21,17280.48,1359785600
2015/1/22,17329.02,1219108608
2015/1/23,17511.75,1325307648
2015/1/26,17468.52,1116030592
2015/1/27,17768.3,1396900480
2015/1/28,17795.73,1419487744
2015/1/29,17606.22,1400372608
2015/1/30,17674.39,1734798848
2015/2/2,17558.04,1360359808
2015/2/3,17335.85,1696159104
2015/2/4,17678.74,1870483840
2015/2/5,17504.62,1849916928
2015/2/6,17648.5,1425197056
2015/2/9,17711.93,1294679808
2015/2/10,17652.68,1239346560
2015/2/12,17979.72,1811718272
2015/2/13,17913.36,1619881728
2015/2/16,18004.77,1525864960
2015/2/17,17987.09,1420518528
2015/2/18,18199.17,1715583744
2015/2/19,18264.79,1741161344
2015/2/20,18332.3,1463333504
2015/2/23,18466.92,1575006080
2015/2/24,18603.48,1451571328
2015/2/25,18585.2,1391095040
2015/2/26,18785.79,1555396992
2015/2/27,18797.94,1746941184
2015/3/2,18826.88,1348485760
2015/3/3,18815.16,1548165248
2015/3/4,18703.6,1433111424
2015/3/5,18751.84,1219366784
2015/3/6,18971,1471273600
2015/3/9,18790.55,1179788928
2015/3/10,18665.11,1483281536
2015/3/11,18723.52,1300279040
2015/3/12,18991.11,1497480192
2015/3/13,19254.25,2277661440
2015/3/16,19246.06,1290354304
2015/3/17,19437,1317771008
2015/3/18,19544.48,1344295936
2015/3/19,19476.56,1510838528
2015/3/20,19560.22,1375300736
2015/3/23,19754.36,1243753216
2015/3/24,19713.45,1419461120
2015/3/25,19746.2,1449502208
2015/3/26,19471.12,1548036096
2015/3/27,19285.63,1783454848
2015/3/30,19411.4,1363485312
2015/3/31,19206.99,1516225920
2015/4/1,19034.84,1603673472
2015/4/2,19312.79,1470942080
2015/4/3,19435.08,1046972416
2015/4/6,19397.98,966368896
2015/4/7,19640.54,1370150144
2015/4/8,19789.81,1406729216
2015/4/9,19937.72,1199828736
2015/4/10,19907.63,1361994496
2015/4/13,19905.46,1070013376
2015/4/14,19908.68,1115720448
2015/4/15,19869.76,1215905664
2015/4/16,19885.77,1742690688
2015/4/17,19652.88,1882290688
2015/4/20,19634.49,1441057664
2015/4/21,19909.09,1616132864
2015/4/22,20133.9,2043850880
2015/4/23,20187.65,2009497856
2015/4/24,20020.04,1397048448
2015/4/27,19983.32,1234982912
2015/4/28,20058.95,1387061760
2015/4/30,19520.01,1890591232
2015/5/1,19531.63,1540561664
2015/5/7,19291.99,1657409408
2015/5/8,19379.19,1815706240
2015/5/11,19620.91,2144466176
2015/5/12,19624.84,2034636160
2015/5/13,19764.72,1936066560
